"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","LMS service","0","Exercises","1","0","Get entity","0"
"0","LMS service","0","Users","3","0","Create entity","0"
"0","LMS service","0","Files","1","0","Get entity","0"
"0","LMS service","0","Files","1","0","Create entity","0"
"0","LMS service","0","Exercises","1","0","Delete entity","0"
"0","LMS service","0","Files","3","0","Validate entity","0"
"0","","0","Courses","1","0","Get entity","0"
"0","","0","Courses","3","0","LMS service","0"
"0","LMS service","0","Exercises","1","0","Update entity","0"
"0","LMS service","0","Files","1","0","Delete entity","0"
"0","LMS service","0","Exercises","1","0","Create entity","0"
"0","LMS service","0","Authentification","1","0","Login","0"
"0","LMS service","0","Users","1","0","Get entity","0"
"0","LMS service","0","Exercises","1","0","Get entities","0"
"0","","0","Courses","1","0","Create entity","0"
"0","","0","Courses","1","0","Update entity","0"
